Index,Title,Link,Year,Certification,Runtime,Genres,Rating,Description,Gross,Director,Stars
1,The Invisible Man,https://www.imdb.com/title/tt1051906/,2020,R,124,"Horror, Mystery, Sci-Fi",7.2,"When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.",,Leigh Whannell,"Elisabeth Moss, Oliver Jackson-Cohen, Harriet Dyer, Aldis Hodge"
2,The Hunt,https://www.imdb.com/title/tt8244784/,2020,R,90,"Action, Horror, Thriller",6.4,"Twelve strangers wake up in a clearing. They don't know where they are, or how they got there. They don't know they've been chosen - for a very specific purpose - The Hunt.",,Craig Zobel,"Betty Gilpin, Hilary Swank, Ike Barinholtz, Wayne Duvall"
3,Vivarium,https://www.imdb.com/title/tt8368406/,2019,R,97,"Horror, Mystery, Sci-Fi",5.8,A young couple looking for the perfect home find themselves trapped in a mysterious labyrinth-like neighborhood of identical houses.,,Lorcan Finnegan,"Imogen Poots, Danielle Ryan, Molly McCann, Jesse Eisenberg"
4,Midsommar,https://www.imdb.com/title/tt8772262/,2019,R,148,"Drama, Horror, Mystery",7.1,A couple travels to Sweden to visit a rural hometown's fabled mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.,"27,331,977",Ari Aster,"Florence Pugh, Jack Reynor, Vilhelm Blomgren, William Jackson Harper"
5,Doctor Sleep,https://www.imdb.com/title/tt5606664/,2019,R,152,"Drama, Fantasy, Horror",7.4,"Years following the events of ""The Shining,"" a now-adult Dan Torrance must protect a young girl with similar powers from a cult known as The True Knot, who prey on children with powers to remain immortal.",,Mike Flanagan,"Ewan McGregor, Rebecca Ferguson, Kyliegh Curran, Cliff Curtis"
6,The Lighthouse,https://www.imdb.com/title/tt7984734/,2019,R,109,"Drama, Fantasy, Horror",7.6,Two lighthouse keepers try to maintain their sanity whilst living on a remote and mysterious New England island in the 1890s.,"427,797",Robert Eggers,"Robert Pattinson, Willem Dafoe, Valeriia Karaman, Logan Hawkes"
7,Zombieland: Double Tap,https://www.imdb.com/title/tt1560220/,2019,R,99,"Action, Comedy, Horror",6.8,"Columbus, Tallahassee, Wichita, and Little Rock move to the American heartland as they face off against evolved zombies, fellow survivors, and the growing pains of the snarky makeshift family.","26,803,104",Ruben Fleischer,"Woody Harrelson, Jesse Eisenberg, Emma Stone, Abigail Breslin"
8,Haunt,https://www.imdb.com/title/tt6535880/,2019,R,92,"Horror, Thriller",6.3,"On Halloween, a group of friends encounter an ""extreme"" haunted house that promises to feed on their darkest fears. The night turns deadly as they come to the horrifying realization that some nightmares are real.",,"Scott Beck, Bryan Woods","Katie Stevens, Will Brittain, Lauryn Alisa McClain, Andrew Caldwell"
9,28 Days Later...,https://www.imdb.com/title/tt0289043/,2002,R,113,"Drama, Horror, Sci-Fi",7.6,"Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary.","45,064,915",Danny Boyle,"Cillian Murphy, Naomie Harris, Christopher Eccleston, Alex Palmer"
10,The Shining,https://www.imdb.com/title/tt0081505/,1980,,146,"Drama, Horror",8.4,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.","44,017,374",Stanley Kubrick,"Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers"
11,It Chapter Two,https://www.imdb.com/title/tt7349950/,2019,R,169,"Drama, Fantasy, Horror",6.6,"Twenty-seven years after their first encounter with the terrifying Pennywise, the Losers Club have grown up and moved away, until a devastating phone call brings them back.","211,593,228",Andy Muschietti,"Jessica Chastain, James McAvoy, Bill Hader, Isaiah Mustafa"
12,It,https://www.imdb.com/title/tt1396484/,2017,R,135,Horror,7.3,"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.","327,481,748",Andy Muschietti,"Bill SkarsgÃ¥rd, Jaeden Martell, Finn Wolfhard, Sophia Lillis"
13,Hereditary,https://www.imdb.com/title/tt7784604/,2018,R,127,"Drama, Horror, Mystery",7.3,A grieving family is haunted by tragic and disturbing occurrences.,"44,069,456",Ari Aster,"Toni Collette, Milly Shapiro, Gabriel Byrne, Alex Wolff"
14,Ready or Not,https://www.imdb.com/title/tt7798634/,2019,R,95,"Comedy, Horror, Mystery",6.8,A bride's wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.,"26,744,177","Matt Bettinelli-Olpin, Tyler Gillett","Samara Weaving, Adam Brody, Mark O'Brien, Henry Czerny"
15,Annihilation,https://www.imdb.com/title/tt2798920/,2018,R,115,"Adventure, Drama, Horror",6.9,"A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply.","32,732,301",Alex Garland,"Natalie Portman, Jennifer Jason Leigh, Tessa Thompson, Benedict Wong"
16,Us,https://www.imdb.com/title/tt6857112/,2019,R,116,"Horror, Mystery, Thriller",6.9,A family's serene beach vacation turns to chaos when their doppelgÃ¤ngers appear and begin to terrorize them.,"175,084,580",Jordan Peele,"Lupita Nyong'o, Winston Duke, Elisabeth Moss, Tim Heidecker"
17,Alien,https://www.imdb.com/title/tt0078748/,1979,R,117,"Horror, Sci-Fi",8.4,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.","78,900,000",Ridley Scott,"Sigourney Weaver, Tom Skerritt, John Hurt, Veronica Cartwright"
18,Get Out,https://www.imdb.com/title/tt5052448/,2017,R,104,"Horror, Mystery, Thriller",7.7,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.","176,040,665",Jordan Peele,"Daniel Kaluuya, Allison Williams, Bradley Whitford, Catherine Keener"
19,The Cabin in the Woods,https://www.imdb.com/title/tt1259521/,2011,R,95,Horror,7.0,"Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods.","42,073,277",Drew Goddard,"Kristen Connolly, Chris Hemsworth, Anna Hutchison, Fran Kranz"
20,I See You,https://www.imdb.com/title/tt6079516/,2019,R,96,"Crime, Drama, Horror",6.7,Strange occurrences plague a small town detective and his family as he investigates the disappearance of a young boy.,,Adam Randall,"Helen Hunt, Jon Tenney, Judah Lewis, Owen Teague"
21,Alien: Covenant,https://www.imdb.com/title/tt2316204/,2017,R,122,"Horror, Sci-Fi, Thriller",6.4,"The crew of a colony ship, bound for a remote planet, discover an uncharted paradise with a threat beyond their imagination, and must attempt a harrowing escape.","74,262,031",Ridley Scott,"Michael Fassbender, Katherine Waterston, Billy Crudup, Danny McBride"
22,Swallow,https://www.imdb.com/title/tt8372298/,2019,R,94,"Drama, Horror, Thriller",6.3,"Hunter, a newly pregnant housewife, finds herself increasingly compelled to consume dangerous objects. As her husband and his family tighten their control over her life, she must confront the dark secret behind her new obsession.",,Carlo Mirabella-Davis,"Haley Bennett, Austin Stowell, Denis O'Hare, Elizabeth Marvel"
23,Bird Box,https://www.imdb.com/title/tt2737304/,2018,R,124,"Drama, Horror, Sci-Fi",6.6,"Five years after an ominous unseen presence drives most of society to suicide, a mother and her two children make a desperate bid to reach safety.",,Susanne Bier,"Sandra Bullock, Trevante Rhodes, John Malkovich, Sarah Paulson"
24,Crawl,https://www.imdb.com/title/tt8364368/,2019,R,87,"Drama, Horror, Thriller",6.2,"A young woman, while attempting to save her father during a category 5 hurricane, finds herself trapped in a flooding house and must fight for her life against alligators.","39,014,193",Alexandre Aja,"Kaya Scodelario, Barry Pepper, Morfydd Clark, Ross Anderson"
25,The VVitch: A New-England Folktale,https://www.imdb.com/title/tt4263482/,2015,R,92,"Drama, Horror, Mystery",6.9,"A family in 1630s New England is torn apart by the forces of witchcraft, black magic, and possession.","25,138,292",Robert Eggers,"Anya Taylor-Joy, Ralph Ineson, Kate Dickie, Julian Richings"
26,The Dead Don't Die,https://www.imdb.com/title/tt8695030/,2019,R,104,"Comedy, Fantasy, Horror",5.5,The peaceful town of Centerville finds itself battling a zombie horde as the dead start rising from their graves.,"6,563,605",Jim Jarmusch,"Bill Murray, Adam Driver, Tom Waits, ChloÃ« Sevigny"
27,The Killing of a Sacred Deer,https://www.imdb.com/title/tt5715874/,2017,R,121,"Drama, Horror, Mystery",7.1,"Steven, a charismatic surgeon, is forced to make an unthinkable sacrifice after his life starts to fall apart, when the behavior of a teenage boy he has taken under his wing turns sinister.","2,291,901",Yorgos Lanthimos,"Barry G. Bernson, Herb Caillouet, Bill Camp, Raffey Cassidy"
28,Overlord,https://www.imdb.com/title/tt4530422/,2018,R,110,"Action, Adventure, Horror",6.6,A small group of American soldiers find horror behind enemy lines on the eve of D-Day.,"21,704,844",Julius Avery,"Jovan Adepo, Wyatt Russell, Mathilde Ollivier, Pilou AsbÃ¦k"
29,Shaun of the Dead,https://www.imdb.com/title/tt0365748/,2004,R,99,"Comedy, Horror",7.9,A man's uneventful life is disrupted by the zombie apocalypse.,"13,542,874",Edgar Wright,"Simon Pegg, Nick Frost, Kate Ashfield, Lucy Davis"
30,Zombieland,https://www.imdb.com/title/tt1156398/,2009,R,88,"Adventure, Comedy, Horror",7.6,"A shy student trying to reach his family in Ohio, a gun-toting tough guy trying to find the last Twinkie, and a pair of sisters trying to get to an amusement park join forces to travel across a zombie-filled America.","75,590,286",Ruben Fleischer,"Jesse Eisenberg, Emma Stone, Woody Harrelson, Abigail Breslin"
31,Psycho,https://www.imdb.com/title/tt0054215/,1960,R,109,"Horror, Mystery, Thriller",8.5,"A Phoenix secretary embezzles forty thousand dollars from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.","32,000,000",Alfred Hitchcock,"Anthony Perkins, Janet Leigh, Vera Miles, John Gavin"
32,Hellboy,https://www.imdb.com/title/tt2274648/,2019,R,120,"Action, Adventure, Fantasy",5.2,"Based on the graphic novels by Mike Mignola, Hellboy, caught between the worlds of the supernatural and human, battles an ancient sorceress bent on revenge.","21,903,748",Neil Marshall,"David Harbour, Milla Jovovich, Ian McShane, Sasha Lane"
33,Pet Sematary,https://www.imdb.com/title/tt0837563/,2019,R,101,"Horror, Mystery, Thriller",5.7,"Dr. Louis Creed and his wife, Rachel, relocate from Boston to rural Maine with their two young children. The couple soon discover a mysterious burial ground hidden deep in the woods near their new home.","54,724,696","Kevin KÃ¶lsch, Dennis Widmyer","Jason Clarke, Amy Seimetz, John Lithgow, JetÃ© Laurence"
34,Brightburn,https://www.imdb.com/title/tt7752126/,2019,R,90,"Drama, Horror, Mystery",6.1,"What if a child from another world crash-landed on Earth, but instead of becoming a hero to mankind, he proved to be something far more sinister?","17,300,439",David Yarovesky,"Elizabeth Banks, David Denman, Jackson A. Dunn, Abraham Clinkscales"
35,Upgrade,https://www.imdb.com/title/tt6499752/,2018,R,100,"Action, Horror, Sci-Fi",7.5,"Set in the near-future, technology controls nearly all aspects of life. But when Grey, a self-labelled technophobe's world's turned upside down, his only hope for revenge is an experimental computer chip implant.","11,977,130",Leigh Whannell,"Logan Marshall-Green, Melanie Vallejo, Steve Danielsen, Abby Craden"
36,Mother!,https://www.imdb.com/title/tt5109784/,2017,R,121,"Drama, Horror, Mystery",6.6,"A couple's relationship is tested when uninvited guests arrive at their home, disrupting their tranquil existence.","17,800,004",Darren Aronofsky,"Jennifer Lawrence, Javier Bardem, Ed Harris, Michelle Pfeiffer"
37,The Descent,https://www.imdb.com/title/tt0435625/,2005,R,99,"Adventure, Horror, Thriller",7.2,"A caving expedition goes horribly wrong, as the explorers become trapped and ultimately pursued by a strange breed of predators.","26,024,456",Neil Marshall,"Shauna Macdonald, Natalie Mendoza, Alex Reid, Saskia Mulder"
38,Suspiria,https://www.imdb.com/title/tt1034415/,2018,R,152,"Fantasy, Horror, Mystery",6.8,"A darkness swirls at the center of a world-renowned dance company, one that will engulf the artistic director, an ambitious young dancer, and a grieving psychotherapist. Some will succumb to the nightmare. Others will finally wake up.","2,474,044",Luca Guadagnino,"ChloÃ« Grace Moretz, Tilda Swinton, Doris Hick, Malgorzata Bela"
39,28 Weeks Later,https://www.imdb.com/title/tt0463854/,2007,R,100,"Drama, Horror, Sci-Fi",7.0,"Six months after the rage virus was inflicted on the population of Great Britain, the US Army helps to secure a small area of London for the survivors to repopulate and start again. But not everything goes according to plan.","28,638,916",Juan Carlos Fresnadillo,"Jeremy Renner, Rose Byrne, Robert Carlyle, Harold Perrineau"
40,From Dusk Till Dawn,https://www.imdb.com/title/tt0116367/,1996,R,108,"Action, Crime, Horror",7.2,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.","25,753,840",Robert Rodriguez,"Harvey Keitel, George Clooney, Juliette Lewis, Quentin Tarantino"
41,The Lost Boys,https://www.imdb.com/title/tt0093437/,1987,,97,"Comedy, Horror",7.3,"After moving to a new town, two brothers discover that the area is a haven for vampires.","32,222,567",Joel Schumacher,"Jason Patric, Corey Haim, Dianne Wiest, Barnard Hughes"
42,Climax,https://www.imdb.com/title/tt8359848/,2018,R,97,"Drama, Horror, Music",7.1,"French dancers gather in a remote, empty school building to rehearse on a wintry night. The all-night celebration morphs into a hallucinatory nightmare when they learn their sangria is laced with LSD.","804,112",Gaspar NoÃ©,"Sofia Boutella, Romain Guillermic, Souheila Yacoub, Kiddy Smile"
43,Child's Play,https://www.imdb.com/title/tt8663516/,2019,R,90,"Horror, Sci-Fi",5.8,"A mother gives her 13-year-old son a toy doll for his birthday, unaware of its more sinister nature.","29,208,403",Lars Klevberg,"Tim Matheson, Ben Andrusco-Daon, Zahra Anderson, Serge Jaswal"
44,What We Do in the Shadows,https://www.imdb.com/title/tt3416742/,2014,R,86,"Comedy, Horror",7.7,"Viago, Deacon and Vladislav are vampires who are finding that modern life has them struggling with the mundane - like paying rent, keeping up with the chore wheel, trying to get into nightclubs and overcoming flatmate conflicts.","3,333,000","Jemaine Clement, Taika Waititi","Jemaine Clement, Taika Waititi, Cori Gonzalez-Macuer, Jonny Brugh"
45,Quarantine,https://www.imdb.com/title/tt1082868/,2008,R,89,"Horror, Thriller",5.9,"A television reporter and her cameraman are trapped inside a building quarantined by the CDC, after the outbreak of a mysterious virus which turns humans into bloodthirsty killers.","31,691,811",John Erick Dowdle,"Jennifer Carpenter, Steve Harris, Columbus Short, Jay Hernandez"
46,Ma,https://www.imdb.com/title/tt7958736/,2019,R,99,"Horror, Mystery, Thriller",5.6,"A lonely woman befriends a group of teenagers and decides to let them party at her house. Just when the kids think their luck couldn't get any better, things start happening that make them question the intention of their host.","45,373,120",Tate Taylor,"Octavia Spencer, Diana Silvers, Juliette Lewis, McKaley Miller"
47,Resident Evil,https://www.imdb.com/title/tt0120804/,2002,R,100,"Action, Horror, Sci-Fi",6.7,"A special military unit fights a powerful, out-of-control supercomputer and hundreds of scientists who have mutated into flesh-eating creatures after a laboratory accident.","40,119,709",Paul W.S. Anderson,"Milla Jovovich, Michelle Rodriguez, Ryan McCluskey, Oscar Pearce"
48,The Purge,https://www.imdb.com/title/tt2184339/,2013,R,85,"Horror, Thriller",5.7,"A wealthy family is held hostage for harboring the target of a murderous syndicate during the Purge, a 12-hour period in which any and all crime is legal.","64,473,115",James DeMonaco,"Ethan Hawke, Lena Headey, Max Burkholder, Adelaide Kane"
49,The Conjuring,https://www.imdb.com/title/tt1457767/,2013,R,112,"Horror, Mystery, Thriller",7.5,Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.,"137,400,141",James Wan,"Patrick Wilson, Vera Farmiga, Ron Livingston, Lili Taylor"
50,Annabelle Comes Home,https://www.imdb.com/title/tt8350360/,2019,R,106,"Horror, Mystery, Thriller",5.9,"While babysitting the daughter of Ed and Lorraine Warren, a teenager and her friend unknowingly awaken an evil spirit trapped in a doll.","74,152,591",Gary Dauberman,"Vera Farmiga, Patrick Wilson, Mckenna Grace, Madison Iseman"
51,The Thing,https://www.imdb.com/title/tt0084787/,1982,,109,"Horror, Mystery, Sci-Fi",8.1,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,"13,782,838",John Carpenter,"Kurt Russell, Wilford Brimley, Keith David, Richard Masur"
52,Dawn of the Dead,https://www.imdb.com/title/tt0363547/,2004,R,101,"Action, Horror",7.3,"A nurse, a policeman, a young married couple, a salesman and other survivors of a worldwide plague that is producing aggressive, flesh-eating zombies, take refuge in a mega Midwestern shopping mall.","59,020,957",Zack Snyder,"Sarah Polley, Ving Rhames, Mekhi Phifer, Jake Weber"
53,The Exorcist,https://www.imdb.com/title/tt0070047/,1973,R,122,Horror,8.0,"When a 12 year-old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her.","232,906,145",William Friedkin,"Ellen Burstyn, Max von Sydow, Linda Blair, Lee J. Cobb"
54,The Girl with All the Gifts,https://www.imdb.com/title/tt4547056/,2016,R,111,"Drama, Horror, Sci-Fi",6.6,A scientist and a teacher living in a dystopian future embark on a journey of survival with a special young girl named Melanie.,,Colm McCarthy,"Sennia Nanua, Fisayo Akinade, Dominique Tipper, Paddy Considine"
55,Under the Skin,https://www.imdb.com/title/tt1441395/,2013,R,108,"Drama, Horror, Sci-Fi",6.3,"A mysterious young woman seduces lonely men in the evening hours in Scotland. However, events lead her to begin a process of self-discovery.","2,605,039",Jonathan Glazer,"Scarlett Johansson, Jeremy McWilliams, Lynsey Taylor Mackay, Dougie McConnell"
56,Scream,https://www.imdb.com/title/tt0117571/,1996,R,111,"Horror, Mystery",7.2,"A year after the murder of her mother, a teenage girl is terrorized by a new killer, who targets the girl and her friends by using horror films as part of a deadly game.","103,046,663",Wes Craven,"Neve Campbell, Courteney Cox, David Arquette, Skeet Ulrich"
57,Cabin Fever,https://www.imdb.com/title/tt0303816/,2002,R,93,Horror,5.7,"Five college graduates rent a cabin in the woods and begin to fall victim to a horrifying flesh-eating virus, which attracts the unwanted attention of the homicidal locals.","21,158,188",Eli Roth,"Jordan Ladd, Rider Strong, James DeBello, Cerina Vincent"
58,Don't Breathe,https://www.imdb.com/title/tt4160708/,2016,R,88,"Crime, Horror, Thriller",7.1,"Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems.","89,217,875",Fede Alvarez,"Stephen Lang, Jane Levy, Dylan Minnette, Daniel Zovatto"
59,The House That Jack Built,https://www.imdb.com/title/tt4003440/,2018,R,152,"Crime, Drama, Horror",6.8,"The story follows Jack, a highly intelligent serial killer, over the course of twelve years, and depicts the murders that really develop his inner madman.","87,008",Lars von Trier,"Matt Dillon, Bruno Ganz, Uma Thurman, Siobhan Fallon Hogan"
60,Dracula,https://www.imdb.com/title/tt0103874/,1992,R,128,Horror,7.4,The centuries old vampire Count Dracula comes to England to seduce his barrister Jonathan Harker's fiancÃ©e Mina Murray and inflict havoc in the foreign land.,"82,522,790",Francis Ford Coppola,"Gary Oldman, Winona Ryder, Anthony Hopkins, Keanu Reeves"
61,Life,https://www.imdb.com/title/tt5442430/,2017,R,104,"Horror, Sci-Fi, Thriller",6.6,A team of scientists aboard the International Space Station discover a rapidly evolving life form that caused extinction on Mars and now threatens all life on Earth.,"30,234,022",Daniel Espinosa,"Jake Gyllenhaal, Rebecca Ferguson, Ryan Reynolds, Hiroyuki Sanada"
62,The Neon Demon,https://www.imdb.com/title/tt1974419/,2016,R,117,"Horror, Thriller",6.2,"An aspiring model, Jesse, is new to Los Angeles. However, her beauty and youth, which generate intense fascination and jealousy within the fashion industry, may prove themselves sinister.","1,333,124",Nicolas Winding Refn,"Elle Fanning, Christina Hendricks, Keanu Reeves, Karl Glusman"
63,Gwoemul,https://www.imdb.com/title/tt0468492/,2006,R,120,"Action, Drama, Horror",7.1,A monster emerges from Seoul's Han River and begins attacking people. One victim's loving family does what it can to rescue her from its clutches.,"2,201,923",Bong Joon Ho,"Kang-ho Song, Hee-Bong Byun, Hae-il Park, Doona Bae"
64,Slither,https://www.imdb.com/title/tt0439815/,2006,R,95,"Comedy, Horror, Sci-Fi",6.4,"A small town is taken over by an alien plague, turning residents into zombies and all forms of mutant monsters.","7,774,730",James Gunn,"Nathan Fillion, Elizabeth Banks, Michael Rooker, Don Thompson"
65,Saw,https://www.imdb.com/title/tt0387564/,2004,R,103,"Horror, Mystery, Thriller",7.6,"Two strangers, who awaken in a room with no recollection of how they got there, soon discover they're pawns in a deadly game perpetrated by a notorious serial killer.","56,000,369",James Wan,"Cary Elwes, Leigh Whannell, Danny Glover, Ken Leung"
66,Rosemary's Baby,https://www.imdb.com/title/tt0063522/,1968,,137,"Drama, Horror",8.0,"A young couple moves in to a fancy apartment surrounded by peculiar neighbors. When the timid and passive wife becomes mysteriously pregnant while the actor husband becomes successful, the safety of her fetus begins to control her life.",,Roman Polanski,"Mia Farrow, John Cassavetes, Ruth Gordon, Sidney Blackmer"
67,Carrie,https://www.imdb.com/title/tt0074285/,1976,,98,Horror,7.4,"Carrie White, a shy, friendless teenage girl who is sheltered by her domineering, religious mother, unleashes her telekinetic powers after being humiliated by her classmates at her senior prom.","33,800,000",Brian De Palma,"Sissy Spacek, Piper Laurie, Amy Irving, John Travolta"
68,Hollow Man,https://www.imdb.com/title/tt0164052/,2000,R,112,"Action, Horror, Sci-Fi",5.8,"When the leader of a team of scientists volunteers to be the test subject for their experiment in human invisibility, he slowly unravels and turns against them, with horrific consequences.","73,209,340",Paul Verhoeven,"Kevin Bacon, Elisabeth Shue, Josh Brolin, Kim Dickens"
69,Tusk,https://www.imdb.com/title/tt3099498/,2014,R,102,"Comedy, Drama, Horror",5.3,A brash and arrogant podcaster gets more than he bargained for when he travels to Canada to interview a mysterious recluse... who has a rather disturbing fondness for walruses.,"1,821,983",Kevin Smith,"Justin Long, Michael Parks, Haley Joel Osment, Genesis Rodriguez"
70,April Fool's Day,https://www.imdb.com/title/tt0090655/,1986,,89,"Horror, Mystery",6.2,Nine college students staying at a friend's remote island mansion begin to fall victim to an unseen murderer over the April Fool's Day weekend.,"12,947,763",Fred Walton,"Deborah Foreman, Griffin O'Neal, Clayton Rohner, Jay Baker"
71,Interview with the Vampire: The Vampire Chronicles,https://www.imdb.com/title/tt0110148/,1994,R,123,"Drama, Horror",7.6,"A vampire tells his epic life story: love, betrayal, loneliness, and hunger.","105,264,608",Neil Jordan,"Brad Pitt, Tom Cruise, Antonio Banderas, Kirsten Dunst"
72,Green Room,https://www.imdb.com/title/tt4062536/,2015,R,95,"Horror, Music, Thriller",7.0,A punk rock band is forced to fight for survival after witnessing a murder at a neo-Nazi skinhead bar.,"3,219,029",Jeremy Saulnier,"Anton Yelchin, Imogen Poots, Alia Shawkat, Patrick Stewart"
73,Crimson Peak,https://www.imdb.com/title/tt2554274/,2015,R,119,"Drama, Fantasy, Horror",6.5,"In the aftermath of a family tragedy, an aspiring author is torn between love for her childhood friend and the temptation of a mysterious outsider. Trying to escape the ghosts of her past, she is swept away to a house that breathes, bleeds - and remembers.","31,090,320",Guillermo del Toro,"Mia Wasikowska, Jessica Chastain, Tom Hiddleston, Charlie Hunnam"
74,The Lodge,https://www.imdb.com/title/tt7347846/,2019,R,108,"Drama, Horror, Thriller",6.6,"A soon-to-be stepmom is snowed in with her fiancÃ©'s two children at a remote holiday village. Just as relations begin to thaw between the trio, some strange and frightening events take place.",,"Severin Fiala, Veronika Franz","Richard Armitage, Riley Keough, Alicia Silverstone, Jaeden Martell"
75,Hush,https://www.imdb.com/title/tt5022702/,2016,R,82,"Horror, Thriller",6.6,A deaf and mute writer who retreated into the woods to live a solitary life must fight for her life in silence when a masked killer appears at her window.,,Mike Flanagan,"John Gallagher Jr., Kate Siegel, Michael Trucco, Samantha Sloyan"
76,It Comes at Night,https://www.imdb.com/title/tt4695012/,2017,R,91,"Horror, Mystery",6.2,"Secure within a desolate home as an unnatural threat terrorizes the world, a man has established a tenuous domestic order with his wife and son. Then a desperate young family arrives seeking refuge.","13,985,117",Trey Edward Shults,"Joel Edgerton, Christopher Abbott, Carmen Ejogo, Riley Keough"
77,The Nun,https://www.imdb.com/title/tt5814060/,2018,R,96,"Horror, Mystery, Thriller",5.3,A priest with a haunted past and a novice on the threshold of her final vows are sent by the Vatican to investigate the death of a young nun in Romania and confront a malevolent force in the form of a demonic nun.,"117,450,119",Corin Hardy,"DemiÃ¡n Bichir, Taissa Farmiga, Jonas Bloquet, Bonnie Aarons"
78,Hellraiser,https://www.imdb.com/title/tt0093177/,1987,,94,"Horror, Thriller",7.0,An unfaithful wife encounters the zombie of her dead lover; the demonic cenobites are pursuing him after he escaped their sadomasochistic underworld.,"14,564,027",Clive Barker,"Andrew Robinson, Clare Higgins, Ashley Laurence, Sean Chapman"
79,Candyman,https://www.imdb.com/title/tt0103919/,1992,R,99,"Horror, Thriller",6.6,"The Candyman, a murderous soul with a hook for a hand, is accidentally summoned to reality by a skeptic grad student researching the monster's myth.","25,792,310",Bernard Rose,"Virginia Madsen, Xander Berkeley, Tony Todd, Kasi Lemmons"
80,A Nightmare on Elm Street,https://www.imdb.com/title/tt0087800/,1984,,91,Horror,7.5,The monstrous spirit of a slain child murderer seeks revenge by invading the dreams of teenagers whose parents were responsible for his untimely death.,"25,504,513",Wes Craven,"Heather Langenkamp, Johnny Depp, Robert Englund, John Saxon"
81,Truth or Dare,https://www.imdb.com/title/tt6772950/,2018,PG-13,100,"Horror, Thriller",5.1,A harmless game of Truth or Dare among friends turns deadly when someone -- or something -- begins to punish those who tell a lie or refuse the dare.,"41,411,015",Jeff Wadlow,"Lucy Hale, Tyler Posey, Violett Beane, Hayden Szeto"
82,The Wicker Man,https://www.imdb.com/title/tt0070917/,1973,,88,"Horror, Mystery, Thriller",7.5,A puritan Police Sergeant is sent to a Scottish island village in search of a missing girl who the townsfolk claim never existed; stranger still are the pagan rites that take place there.,"60,891",Robin Hardy,"Edward Woodward, Christopher Lee, Diane Cilento, Britt Ekland"
83,Resident Evil: Apocalypse,https://www.imdb.com/title/tt0318627/,2004,R,94,"Action, Horror, Sci-Fi",6.2,Alice wakes up in Racoon city hospital after the city has been overrun by zombies. Alice must now make it out of the city before a mucilage bomb is dropped on the city.,"51,201,453",Alexander Witt,"Milla Jovovich, Sienna Guillory, Eric Mabius, Oded Fehr"
84,Final Destination,https://www.imdb.com/title/tt0195714/,2000,R,98,"Horror, Thriller",6.7,"After a teenager has a terrifying vision of him and his friends dying in a plane crash, he prevents the accident only to have Death hunt them down, one by one.","53,331,147",James Wong,"Devon Sawa, Ali Larter, Kerr Smith, Kristen Cloke"
85,[Rec],https://www.imdb.com/title/tt1038988/,2007,R,78,"Horror, Mystery, Thriller",7.4,A television reporter and cameraman follow emergency workers into a dark apartment building and are quickly locked inside with something terrifying.,,"Jaume BalaguerÃ³, Paco Plaza","Manuela Velasco, Ferran Terraza, Jorge-Yamam Serrano, Pablo Rosso"
86,A Cure for Wellness,https://www.imdb.com/title/tt4731136/,2016,R,146,"Drama, Fantasy, Horror",6.4,"An ambitious young executive is sent to retrieve his company's CEO from an idyllic but mysterious ""wellness center"" at a remote location in the Swiss Alps, but soon suspects that the spa's treatments are not what they seem.","8,106,986",Gore Verbinski,"Dane DeHaan, Jason Isaacs, Mia Goth, Ivo Nandi"
87,Martyrs,https://www.imdb.com/title/tt1029234/,2008,R,99,Horror,7.1,"A young woman's quest for revenge against the people who kidnapped and tormented her as a child leads her and a friend, who is also a victim of child abuse, on a terrifying journey into a living hell of depravity.",,Pascal Laugier,"Morjana Alaoui, MylÃ¨ne JampanoÃ¯, Catherine BÃ©gin, Robert Toupin"
