Index,Title,Link,Year,Certification,Runtime,Genres,Rating,Description,Gross,Director,Stars
"1,380",Seconds Apart,https://www.imdb.com/title/tt1601475/,2011,R,89,"Horror, Thriller",5.7,See full summary,,Antonio Negret,"Orlando Jones, Edmund Entin, Gary Entin, Samantha Droke"
"1,381",Retribution,https://www.imdb.com/title/tt0095984/,1987,,107,"Horror, Mystery",5.9,"A Manic depressive artist survives a suicidal fall only to be possessed by a murdered gangster, who uses the artist to seek vengeance on those that ended his life.",,Guy Magar,"Dennis Lipscomb, Leslie Wing, Suzanne Snyder, Jeff Pomerantz"
"1,382",Film House Fever,https://www.imdb.com/title/tt0213653/,1986,,58,"Comedy, Horror",5.5,A pair of movie buffs head to the theater to watch a series of trailers and clips from exploitation films.,,Domonic Paris,"Steve Buscemi, Mark Boone Junior, Darryl Montana, Alfred Giosa"
"1,383",Il medaglione insanguinato (Perche?!),https://www.imdb.com/title/tt0073367/,1975,,81,"Horror, Thriller",6.0,"The titular medallion is a gift presented to young Nicole Elmi. Once the girl places the gift around her neck, she is possessed by the spirit of a dead child who was a murderess.",,Massimo Dallamano,"Richard Johnson, Joanna Cassidy, Lila Kedrova, Evelyn Stewart"
"1,384",Evolver,https://www.imdb.com/title/tt0112993/,1995,,87,"Action, Horror, Sci-Fi",5.6,See full summary,,Mark Rosman,"Ethan Embry, Cassidy Rae, Nassira Nicola, Chance Quinn"
"1,385",Seven Days to Live,https://www.imdb.com/title/tt0221928/,2000,R,96,"Drama, Horror, Thriller",5.1,A grieving woman suffers terrifying visions of her own demise after she and her husband move into a country mansion.,,Sebastian Niemann,"Nick Brimble, Zdenek Maryska, Rich Gold, Renee Ackermann"
"1,386",Grim Prairie Tales: Hit the Trail... to Terror,https://www.imdb.com/title/tt0099704/,1990,,86,"Horror, Western",5.4,A cynical bounty hunter and a clerk traveling through the prairie rest by the campfire telling four stories of terror to each other.,,Wayne Coe,"James Earl Jones, Brad Dourif, Will Hare, Marc McClure"
"1,387",Rage - Furia primitiva,https://www.imdb.com/title/tt0102709/,1988,,91,"Horror, Sci-Fi, Thriller",5.4,See full summary,,Vittorio Rambaldi,"Patrick Lowe, Cheryl Arutt, Sarah Buxton, Mitch Watson"
"1,388",The Night Stalker,https://www.imdb.com/title/tt0093621/,1986,,93,"Crime, Drama, Horror",5.1,A tough homicide cop is assigned to track down a serial killer who is murdering prostitutes.,,Max Kleven,"Charles Napier, Michelle Reese, Katherine Kelly Lang, Robert Viharo"
"1,389",The Pyx,https://www.imdb.com/title/tt0070578/,1973,,108,"Horror, Thriller, Crime",5.4,A police detective uncovers a sinister occult explanation behind the mysterious death of a heroin-addicted prostitute.,,Harvey Hart,"Karen Black, Christopher Plummer, Donald Pilon, Jean-Louis Roux"
"1,390",El retorno del Hombre Lobo,https://www.imdb.com/title/tt0081415/,1981,,92,Horror,6.0,"An evil witch brings back to life the infamous Elizabeth Bathory, who was executed several hundred years previously for murdering young woman and bathing in their blood.",,Paul Naschy,"Paul Naschy, Julia Saly, Silvia Aguilar, Azucena HernÃ¡ndez"
"1,391",Albino,https://www.imdb.com/title/tt0074108/,1976,,97,"Action, Adventure, Drama",5.5,A colonial police officer in Rhodesia hunts down the albino terrorist who raped and murdered his fiancÃ©e.,,JÃ¼rgen Goslar,"Christopher Lee, James Faulkner, Horst Frank, Sybil Danning"
"1,392",Ekusute,https://www.imdb.com/title/tt0904049/,2007,R,108,"Comedy, Horror",6.3,About hair extensions that attack the women that wear them.,,"Sion Sono, Joe DiGiorgi, Tony Salerno","Chiaki Kuriyama, Megumi SatÃ´, Tsugumi, Eri Machimoto"
"1,393",Disturbed,https://www.imdb.com/title/tt0099441/,1990,,96,"Horror, Thriller",5.2,See full summary,,Charles Winkler,"Malcolm McDowell, Geoffrey Lewis, Priscilla Pointer, Pamela Gidley"
"1,394",Servants of Twilight,https://www.imdb.com/title/tt0102882/,1991,,95,"Horror, Thriller",5.2,See full summary,,Jeffrey Obrow,"Bruce Greenwood, Jarrett Lennon, Belinda Bauer, Grace Zabriskie"
"1,395",In the Shadow of Kilimanjaro,https://www.imdb.com/title/tt0091264/,1986,,97,"Action, Adventure, Drama",5.2,"Because of a severe drought in Kenya in 1984, ninety thousand starving baboons go on a murderous rampage, killing humans and animals alike.","181,410",Raju Patel,"John Rhys-Davies, Timothy Bottoms, Irene Miracle, Michele Carey"
"1,396",The Ugly,https://www.imdb.com/title/tt0120401/,1997,R,93,"Drama, Horror, Thriller",6.0,A female psychologist wants to understand the minds of a confessed serial killer who spent the last five years in a mental hospital because of his state.,,Scott Reynolds,"Paolo Rotondo, Paul Glover, Chris Graham, Darien Takle"
"1,397",La venganza del sexo,https://www.imdb.com/title/tt0062433/,1969,,87,"Horror, Sci-Fi",5.0,See full summary,,"Emilio Vieyra, Jerald Intrator","Ricardo Bauleo, Gloria Prat, Aldo Barbero, Susana BeltrÃ¡n"
"1,398",American Nightmare,https://www.imdb.com/title/tt0085156/,1983,,88,"Horror, Crime, Thriller",5.1,"A man investigates the disappearance of his sister with the help of her roommate. He uncovers a trail of prostitution, incest, blackmail...and murder.",,Don McBrearty,"Lawrence Day, Lora Staley, Neil Dainard, Lenore Zann"
"1,399","Magdalena, vom Teufel besessen",https://www.imdb.com/title/tt0071795/,1974,,120,"Drama, Horror, Thriller",5.1,"At a girls boarding school, a beautiful blonde orphan is possessed by an evil demon.",,Walter Boos,"Dagmar Hedrich, Werner Bruhns, Michael Hinz, Peter Martin Urtel"
"1,400",They Wait,https://www.imdb.com/title/tt0869152/,2007,R,99,"Horror, Mystery, Thriller",5.3,A young mother and her six-year-old son come face to face with the mysteries of two murders and a great crime against the Chinese community into which they have recently arrived from Shanghai.,,Ernie Barbarash,"Jaime King, Terry Chen, Pei-Pei Cheng, Henry O"
"1,401",Flashback - MÃ¶rderische Ferien,https://www.imdb.com/title/tt0239406/,2000,R,95,"Horror, Thriller, Mystery",5.4,See full summary,,Michael Karen,"Valerie Niehaus, Xaver Hutter, Alexandra Neldel, Simone Hanselmann"
"1,402",Slumber Party Slaughter,https://www.imdb.com/title/tt1935231/,2012,R,93,"Drama, Horror, Thriller",6.7,"On a secretive outing to a bizarre strip club, Tom Kingsford is unaware that his life is about to take a dramatic turn. The club owner, and real estate mogul, William O'Toole, is a sadistic voyeur whose desire for fear and torture.",,Rebekah Chaney,"Tom Sizemore, Ryan O'Neal, Robert Carradine, Tyler Jacob Moore"
"1,403",Rivelazioni di un maniaco sessuale al capo della squadra mobile,https://www.imdb.com/title/tt0069186/,1972,,101,"Crime, Drama, Horror",6.1,A serial killer is on the loose. His victims are unfaithful wives and he always leaves compromising photographs at the crime scene.,,Roberto Bianchi Montero,"Farley Granger, Sylva Koscina, Silvano Tranquilli, Annabella Incontrera"
"1,404",Blood & Donuts,https://www.imdb.com/title/tt0112527/,1995,R,89,"Comedy, Horror",6.0,A vampire falls for a woman working at a donut shop.,,Holly Dale,"Gordon Currie, Louis Ferreira, Helene Clarkson, Fiona Reid"
"1,405",The Attic Expeditions,https://www.imdb.com/title/tt0118652/,2001,R,100,"Comedy, Horror, Mystery",5.0,See full summary,,Jeremy Kasten,"Andras Jones, Seth Green, Jeffrey Combs, Wendy Robie"
"1,406",Born of Fire,https://www.imdb.com/title/tt0092691/,1987,,84,"Drama, Fantasy, Horror",6.0,"A musician searches for the Master Flautist, a supernatural creature who is planning to blow up the world.",,Jamil Dehlavi,"Peter Firth, Suzan Crowley, Stefan Kalipha, Orla Pederson"
"1,407",Vikaren,https://www.imdb.com/title/tt0478394/,2007,R,93,"Comedy, Fantasy, Horror",5.8,A group of sixth graders are convinced their new substitute teacher is actually a menacing alien.,,Ole Bornedal,"Paprika Steen, Ulrich Thomsen, Jonas Wandschneider, Nikolaj Falkenberg-Klok"
"1,408",Baby Blood,https://www.imdb.com/title/tt0096871/,1990,R,88,Horror,5.9,When a strange creature crawls into a woman's uterus she becomes a killer in order to feed the tiny terror growing within her.,,Alain Robak,"Emmanuelle Escourrou, Christian Sinniger, Jean-FranÃ§ois Gallotte, Roselyne Geslot"
"1,409",The Flesh and Blood Show,https://www.imdb.com/title/tt0068596/,1972,,96,Horror,5.4,Actors rehearsing a show at a mysterious seaside theater are being killed off by an unknown maniac.,,Pete Walker,"Ray Brooks, Jenny Hanley, Luan Peters, Robin Askwith"
"1,410",In 3 Tagen bist du tot,https://www.imdb.com/title/tt0808315/,2006,R,97,"Horror, Thriller",5.5,See full summary,,Andreas Prochaska,"Sabrina Reiter, Julia Rosa Peer, Michael Steinocher, Nadja Vogel"
